row,meter,filled_source_value,archived_value
1699,Rat_public_Allie,2.81,0.0
1898,Rat_public_Leo,10.53,0.0
1899,Rat_public_Leo,10.53,0.0
1900,Rat_public_Leo,10.53,0.0
1901,Rat_public_Leo,10.53,0.0
1902,Rat_public_Leo,10.53,0.0
1903,Rat_public_Leo,10.53,0.0
1904,Rat_public_Leo,10.53,0.0
1905,Rat_public_Leo,10.53,0.0
1906,Rat_public_Leo,10.53,0.0
2043,Rat_education_Kandice,2.62,0.0
2044,Rat_education_Kandice,2.62,0.0
2045,Rat_education_Kandice,2.62,0.0
2256,Rat_education_Calvin,13.28,0.0
2257,Rat_education_Calvin,13.28,0.0
2258,Rat_education_Calvin,13.28,0.0
3323,Rat_public_Mark,20.96,0.0
3325,Rat_public_Mark,0.03,0.0
3326,Rat_public_Mark,0.03,0.0
3327,Rat_public_Mark,0.03,0.0
3328,Rat_public_Mark,0.03,0.0
3329,Rat_public_Mark,0.03,0.0
3464,Rat_education_Lee,17.43,71.49
3465,Rat_education_Lee,22.68,71.49
3473,Rat_education_Lee,42.09,50.13
3785,Rat_office_Lora,643.82,0.0
3828,Rat_education_Calvin,16.97,0.0
5374,Rat_education_Kandice,72.34,0.0
5375,Rat_education_Kandice,72.34,0.0
5376,Rat_education_Kandice,72.34,0.0
5377,Rat_education_Kandice,72.34,0.0
5518,Rat_education_Calvin,12.64,0.0
5519,Rat_education_Calvin,12.64,0.0
5937,Rat_education_Calvin,5.15,0.0
5938,Rat_education_Calvin,5.15,0.0
5939,Rat_education_Calvin,5.15,0.0
5940,Rat_education_Calvin,5.15,0.0
5941,Rat_education_Calvin,5.15,0.0
5942,Rat_education_Calvin,5.15,0.0
5943,Rat_education_Calvin,5.15,0.0
5944,Rat_education_Calvin,5.15,0.0
7075,Rat_education_Calvin,12.61,0.0
7490,Rat_public_Leo,10.71,0.0
7491,Rat_public_Leo,10.71,0.0
7492,Rat_public_Leo,10.71,0.0
7493,Rat_public_Leo,10.71,0.0
8340,Rat_public_Mark,20.66,0.0
8341,Rat_public_Mark,20.66,0.0
8342,Rat_public_Mark,20.66,0.0
8343,Rat_public_Mark,20.66,0.0
8344,Rat_public_Mark,20.66,0.0
8982,Rat_office_Jamal,2939.15,2309.83
9385,Rat_office_Adele,101.88,0.0
9387,Rat_office_Adele,0.01,0.0
11611,Rat_assembly_Ezequiel,4.47,0.0
12920,Rat_education_Lee,18.33,62.16
12924,Rat_education_Lee,44.25,81.63
12925,Rat_education_Lee,42.84,81.63
12927,Rat_education_Lee,39.12,54.12
12928,Rat_education_Lee,20.79,54.12
13040,Rat_education_Lee,27.42,99.09
15056,Rat_public_Sharron,1.72,0.0
15057,Rat_public_Sharron,1.72,0.0
15058,Rat_public_Sharron,1.72,0.0
15059,Rat_public_Sharron,1.72,0.0
15060,Rat_public_Sharron,1.72,0.0
15062,Rat_public_Sharron,0.24,0.0
15063,Rat_public_Sharron,0.24,0.0
15064,Rat_public_Sharron,0.24,0.0
15488,Rat_public_Sharron,1.68,0.0
15489,Rat_public_Sharron,1.68,0.0
15490,Rat_public_Sharron,1.68,0.0
15491,Rat_public_Sharron,1.68,0.0
15492,Rat_public_Sharron,1.68,0.0
15493,Rat_public_Sharron,1.68,0.0
15494,Rat_public_Sharron,1.68,0.0
15495,Rat_public_Sharron,1.68,0.0
15496,Rat_public_Sharron,1.68,0.0
