dataset,backbone,method,n,mse_reduction_pct,bytes_median
ETTh1,dlinear,$\delta$-Adapter,6,0.59258899980509,16648608.0
ETTh1,dlinear,COSA,6,0.8403318384863541,71356.0
ETTh1,dlinear,FAC,6,3.065494382583872,21408.0
ETTh1,dlinear,OMPB,6,1.0664614601500515,488432.0
ETTh1,dlinear,ELF,6,7.300923139506629,301984.0
ETTh1,dlinear,Proposed,6,9.551058031869522,4528.0
ETTh1,patchtst,$\delta$-Adapter,6,0.8370693234482788,16648608.0
ETTh1,patchtst,COSA,6,5.2984384353026766,71356.0
ETTh1,patchtst,FAC,6,8.931361308444973,21408.0
ETTh1,patchtst,OMPB,6,8.153913631938392,488432.0
ETTh1,patchtst,ELF,6,16.447586513789243,301984.0
ETTh1,patchtst,Proposed,6,13.619718903253245,4528.0
ETTh2,dlinear,$\delta$-Adapter,6,2.156077758943757,16648608.0
ETTh2,dlinear,COSA,6,3.8020881989852207,71356.0
ETTh2,dlinear,FAC,6,3.5570592101131715,21408.0
ETTh2,dlinear,OMPB,6,2.597359383487001,488432.0
ETTh2,dlinear,ELF,6,7.030631632102552,301984.0
ETTh2,dlinear,Proposed,6,7.558598715016267,4528.0
ETTh2,patchtst,$\delta$-Adapter,6,2.926854916890857,16648608.0
ETTh2,patchtst,COSA,6,15.509054506560034,71356.0
ETTh2,patchtst,FAC,6,20.666828673977637,21408.0
ETTh2,patchtst,OMPB,6,16.89162641733626,488432.0
ETTh2,patchtst,ELF,6,22.06510387856459,301984.0
ETTh2,patchtst,Proposed,6,19.91873981078668,4528.0
ETTm1,dlinear,$\delta$-Adapter,6,2.2747123234735227,16648608.0
ETTm1,dlinear,COSA,6,4.9917570377445974,71356.0
ETTm1,dlinear,FAC,6,10.021015742855747,21408.0
ETTm1,dlinear,OMPB,6,2.624339222969803,488432.0
ETTm1,dlinear,ELF,6,9.092753441427869,301984.0
ETTm1,dlinear,Proposed,6,6.178855027287298,4528.0
ETTm1,patchtst,$\delta$-Adapter,6,1.9328466898002956,16648608.0
ETTm1,patchtst,COSA,6,16.136382141800574,71356.0
ETTm1,patchtst,FAC,6,17.58032526853863,21408.0
ETTm1,patchtst,OMPB,6,11.760859062886427,488432.0
ETTm1,patchtst,ELF,6,25.167144170112547,301984.0
ETTm1,patchtst,Proposed,6,14.114688952456136,4528.0
ETTm2,dlinear,$\delta$-Adapter,6,2.6092978766077746,16648608.0
ETTm2,dlinear,COSA,6,3.6834102983411925,71356.0
ETTm2,dlinear,FAC,6,7.915661410501172,21408.0
ETTm2,dlinear,OMPB,6,3.201205228658553,488432.0
ETTm2,dlinear,ELF,6,13.661387609267711,301984.0
ETTm2,dlinear,Proposed,6,10.185990114322832,4528.0
ETTm2,patchtst,$\delta$-Adapter,6,4.17368989606622,16648608.0
ETTm2,patchtst,COSA,6,15.027108956882941,71356.0
ETTm2,patchtst,FAC,6,19.095871365043447,21408.0
ETTm2,patchtst,OMPB,6,15.086264413792557,488432.0
ETTm2,patchtst,ELF,6,26.02263777233549,301984.0
ETTm2,patchtst,Proposed,6,20.384286292494508,4528.0
appliances,dlinear,$\delta$-Adapter,6,13.506092199746448,44692608.0
appliances,dlinear,COSA,6,6.370477692786611,263256.0
appliances,dlinear,FAC,6,19.347991341565848,77952.0
appliances,dlinear,OMPB,6,8.07124278757376,1812656.0
appliances,dlinear,ELF,6,16.1527266396585,1119288.0
appliances,dlinear,Proposed,6,20.008880557441824,13192.0
appliances,patchtst,$\delta$-Adapter,6,20.847984451580427,44692608.0
appliances,patchtst,COSA,6,53.98690332536967,263256.0
appliances,patchtst,FAC,6,56.75989563669288,77952.0
appliances,patchtst,OMPB,6,53.07394733798619,1812656.0
appliances,patchtst,ELF,6,58.89168210605103,1119288.0
appliances,patchtst,Proposed,6,58.36636392041792,13192.0
bdg2,dlinear,$\delta$-Adapter,6,6.522043118046298,28456608.0
bdg2,dlinear,COSA,6,8.240162283327843,152156.0
bdg2,dlinear,FAC,6,9.124316314580838,45216.0
bdg2,dlinear,OMPB,6,5.934788317810774,1046000.0
bdg2,dlinear,ELF,6,16.09955508488576,646112.0
bdg2,dlinear,Proposed,6,11.98031596825746,8176.0
bdg2,patchtst,$\delta$-Adapter,6,8.771960590181456,28456608.0
bdg2,patchtst,COSA,6,10.800462629261967,152156.0
bdg2,patchtst,FAC,6,12.662862043001317,45216.0
bdg2,patchtst,OMPB,6,9.84576406926704,1046000.0
bdg2,patchtst,ELF,6,18.283403888833018,646112.0
bdg2,patchtst,Proposed,6,12.03342165956804,8176.0
bdg2_fox,dlinear,$\delta$-Adapter,6,14.769353259257109,28456608.0
bdg2_fox,dlinear,COSA,6,16.085297272714516,152156.0
bdg2_fox,dlinear,FAC,6,13.042252806175952,45216.0
bdg2_fox,dlinear,OMPB,6,5.548188403703736,1046000.0
bdg2_fox,dlinear,ELF,6,25.84343061681555,646112.0
bdg2_fox,dlinear,Proposed,6,11.967497372648518,8176.0
bdg2_fox,patchtst,$\delta$-Adapter,6,10.211157506037216,28456608.0
bdg2_fox,patchtst,COSA,6,10.685283998203204,152156.0
bdg2_fox,patchtst,FAC,6,11.674527331421402,45216.0
bdg2_fox,patchtst,OMPB,6,7.0259155253424455,1046000.0
bdg2_fox,patchtst,ELF,6,14.927852827538224,646112.0
bdg2_fox,patchtst,Proposed,6,5.626335957137793,8176.0
bdg2_panther,dlinear,$\delta$-Adapter,6,6.746937460497265,28456608.0
bdg2_panther,dlinear,COSA,6,8.147740859566026,152156.0
bdg2_panther,dlinear,FAC,6,9.314132726276576,45216.0
bdg2_panther,dlinear,OMPB,6,2.826194837000943,1046000.0
bdg2_panther,dlinear,ELF,6,17.126725477809718,646112.0
bdg2_panther,dlinear,Proposed,6,14.535121170356467,8176.0
bdg2_panther,patchtst,$\delta$-Adapter,6,8.30116870563459,28456608.0
bdg2_panther,patchtst,COSA,6,8.153569192369787,152156.0
bdg2_panther,patchtst,FAC,6,10.75831545131966,45216.0
bdg2_panther,patchtst,OMPB,6,7.1494409161797305,1046000.0
bdg2_panther,patchtst,ELF,6,14.602537587497125,646112.0
bdg2_panther,patchtst,Proposed,6,10.432089897496017,8176.0
