Dataset,Backbone,Static MSE,$\delta$-Adapter MSE,COSA MSE,FAC MSE,OMPB MSE,ELF MSE,Proposed MSE,Static MAE,$\delta$-Adapter MAE,COSA MAE,FAC MAE,OMPB MAE,ELF MAE,Proposed MAE
ETTh1,dlinear,0.39620217002242825,0.3938517710583223,0.39285919677226167,0.38404252159872126,0.3919623568926018,0.3672513997147227,0.35833759962399075,0.40402902518026756,0.40207288636981636,0.3988604783516274,0.39511108342567486,0.39836817589106127,0.38631635299390293,0.38633201311998544
ETTh1,patchtst,0.4378064091640837,0.43412173066172494,0.4142883816318958,0.39833426266605015,0.40176230504959354,0.36540508548356243,0.3779477109267826,0.4399881926190476,0.4363860123209218,0.42211205085036735,0.4121821777518735,0.41590711857629903,0.39222226026634016,0.4082904486015492
ETTh2,dlinear,0.14533651514722964,0.14214180700943316,0.13968429630636767,0.14009239703110352,0.1414016381186296,0.1348748542484247,0.134117466867307,0.25773693896877,0.25376848871958374,0.24984265026234095,0.25127994330433695,0.250749337882237,0.2443461348178476,0.24288769579774608
ETTh2,patchtst,0.18053759766111555,0.17519994841644038,0.1500726705128941,0.1407096553940426,0.1475451783600714,0.1381915237877889,0.1421938789411875,0.2973579874290131,0.29022117336116565,0.2632996504841136,0.25287357396414883,0.2595626835966182,0.24975193384633465,0.2554690291313773
ETTm1,dlinear,0.26298625705343076,0.2569993996822498,0.24981558673606138,0.23656649752523892,0.25608054667677954,0.23901968736278376,0.2467351404685871,0.3388614691701856,0.33274679128081136,0.32634343419271655,0.31773750939121476,0.33131910351516747,0.31912110178553177,0.32659327519739373
ETTm1,patchtst,0.316694028665693,0.3105498647387264,0.2653400462199346,0.2608406595573401,0.2793289083772225,0.23681027296530002,0.27181799566595904,0.3614814233919235,0.35551228857069167,0.3362911450822081,0.33388333037207496,0.3435013674050335,0.3181711340984668,0.3432648729899461
ETTm2,dlinear,0.09976321139681427,0.09714261058205809,0.09601160537391447,0.09178038608734614,0.09649916791621095,0.08604873047672384,0.08951725700632444,0.21149252409048427,0.2072264437843101,0.2050806701834876,0.20087882529088763,0.20558281667051026,0.19152524981388006,0.19816816296684436
ETTm2,patchtst,0.11690301544962706,0.11198840243649849,0.09891324969890787,0.09428746819632006,0.09890446906469581,0.08620041364506219,0.09269998747526775,0.2328675754531575,0.22473590575688318,0.20969629856705338,0.20297930031988062,0.20878044315008149,0.19226869825734025,0.20301443714588938
appliances,dlinear,0.23067530152245294,0.1994013053737956,0.21579421227508297,0.18580755568325047,0.2118381980679207,0.19317009431842247,0.18427147976086636,0.2869945171865326,0.2564707551988605,0.2787622980872002,0.2560022700209361,0.27524761416494364,0.25618553781810754,0.24913099843246858
appliances,patchtst,0.43927724674266444,0.3475909980334115,0.2018399097791451,0.18973904256051768,0.20589592642358598,0.18032385133294182,0.1826526551811769,0.385710678948334,0.33458598364101405,0.2667034853432752,0.2603553374026441,0.26885663220017353,0.24931489987883357,0.25033099815765664
bdg2,dlinear,0.21925309805529813,0.20491691522177244,0.2011221679993543,0.19918937464984934,0.20617627879701825,0.18390127885327592,0.19293315192429264,0.3094843829254566,0.28691379008514156,0.2855923579835596,0.28543493948217474,0.28998828771177715,0.26591329398578517,0.28137191236860576
bdg2,patchtst,0.2128735652600465,0.19412686809818602,0.18966041538280445,0.18570640186166743,0.191684626102213,0.17372642776116512,0.18707021829999215,0.313964735404608,0.2906178702374564,0.28496481879256874,0.2824048843123386,0.2875744613498505,0.264752956832307,0.28597624833275453
bdg2_fox,dlinear,0.23748578059930006,0.20240367462406475,0.19927560428301172,0.20650444236354357,0.22430436494544517,0.17610503035870298,0.20905784345664236,0.317139617921359,0.28402290169823813,0.28884307740052756,0.2954220231645885,0.304199551039353,0.26712034964208564,0.29926623430463245
bdg2_fox,patchtst,0.18170793592613763,0.16315993989688893,0.16228887201489478,0.16045252768218585,0.16893376814295036,0.15450224162757686,0.17142491019082248,0.2911991323597149,0.2697924404590308,0.2679265272694266,0.2679347820279155,0.2747020282269128,0.2567552448627334,0.2787557503383476
bdg2_panther,dlinear,0.07789460326029703,0.07262910182526848,0.07153517725211922,0.07062696902541467,0.07568983166900191,0.0645373460391112,0.06655464885482201,0.17858308453686378,0.17044204803451415,0.17019196860710054,0.16920724050498182,0.1759159872848476,0.1598005426403012,0.16324147918458354
bdg2_panther,patchtst,0.07521594965682724,0.06885678879859258,0.06896262172307392,0.06701364704339534,0.06971599463737498,0.06415130159114686,0.06726544711161829,0.1769716491213056,0.16439786967235023,0.16549052771502523,0.1626679905284578,0.16613831457425313,0.15895919773798264,0.16468047642178482
