dataset,backbone,seed,phase,arm,mse,mae,static_mse,static_mae,mse_reduction_pct,mae_reduction_pct,state_bytes,lr,parameter_bytes,optimizer_bytes,context_bytes,schedule_bytes,method,cohort
ETTh1,dlinear,0,legacy,cosa_global,0.3934221645196198,0.3995194351792955,0.3955730955366409,0.4036559040895815,0.543750583973146,1.024751246885769,71356,0.005,23548.0,47156.0,80.0,44.0,COSA,main
ETTh1,dlinear,0,legacy,fac_global,0.3865469360460136,0.396772049625524,0.3955730955366409,0.4036559040895815,2.281793072499616,1.7053768802375302,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTh1,dlinear,0,legacy,proposed_global,0.3576488706541107,0.3857676556717927,0.3955730955366409,0.4036559040895815,9.587159822151603,4.431558720325057,4528,,,,,,Proposed,main
ETTh1,dlinear,0,legacy,static,0.3955730955366409,0.4036559040895815,0.3955730955366409,0.4036559040895815,0.0,0.0,0,,,,,,Static,main
ETTh1,dlinear,1,legacy,cosa_global,0.392791495803616,0.3988140969092828,0.3987785825318127,0.4061631936103853,1.5013561385832652,1.8093950453206609,71356,0.005,23548.0,47156.0,80.0,44.0,COSA,main
ETTh1,dlinear,1,legacy,fac_global,0.380930124048716,0.39347216443634,0.3987785825318127,0.4061631936103853,4.4757816153962455,3.1246133016718525,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTh1,dlinear,1,legacy,proposed_global,0.3576488649314493,0.3862610439193477,0.3987785825318127,0.4061631936103853,10.313923415654411,4.900037719845408,4528,,,,,,Proposed,main
ETTh1,dlinear,1,legacy,static,0.3987785825318127,0.4061631936103853,0.3987785825318127,0.4061631936103853,0.0,0.0,0,,,,,,Static,main
ETTh1,dlinear,2,legacy,cosa_global,0.3939702691000451,0.3994204462548783,0.3941047590716731,0.4017776976604462,0.0341254370905708,0.5867053893967245,71356,0.005,23548.0,47156.0,80.0,44.0,COSA,main
ETTh1,dlinear,2,legacy,fac_global,0.3833481492439662,0.3947188878046865,0.3941047590716731,0.4017776976604462,2.729378313787545,1.7568943962950725,21408,0.005,6952.0,13928.0,0.0,0.0,FAC,main
