Setting,MSE (\%),MAE (\%),Bytes
Reference ($K=4$),15.403872646925661,9.35020070821997,6352
$K=1$,11.12601635426276,6.473983734289578,2056
$K=2$,13.099541202830698,7.84542911432542,3488
$K=3$,14.490004328791196,8.78848518613511,4920
$K=6$,15.998706031285437,9.757030203270844,9216
$K=8$,16.403408492712003,10.079116342074721,12080
$\lambda=0.1$,15.186052363839417,9.171329635126286,6352
$\lambda=10$,15.184813334802238,9.459044290978115,6352
Half-life 32,15.429192625687191,9.716311587785986,6352
Half-life 512,14.819851135539944,8.960431732318945,6352
No forgetting,14.472131302286618,8.75728668574155,6352
Window 8,15.235805981446783,9.348638398658508,5968
Window 128,14.981942263360272,9.074825052158708,7888
