dataset,backbone,seed,arm,mse,mae
ETTh1,dlinear,0,mae_base,0.48591296674900564,0.47127169440649747
ETTh1,dlinear,0,mae_joint_boundary,0.43938624840093465,0.45239953056754817
ETTh1,dlinear,0,mae_joint_adapter,0.4983360407168562,0.47834328726988845
ETTh1,dlinear,0,mae_joint_adapter_global,0.49012370732335403,0.4750217910863782
ETTh1,dlinear,0,sf_base,0.4936739094779213,0.4751351684975241
ETTh1,dlinear,0,sf_joint_boundary,0.4430611582229616,0.454577727664527
ETTh1,dlinear,0,sf_joint_adapter,0.5034520591598537,0.4810580915885193
ETTh1,dlinear,0,sf_joint_adapter_global,0.4953542960380796,0.47760383992596483
ETTh1,dlinear,1,mae_base,0.4930921083869587,0.4721937369946134
ETTh1,dlinear,1,mae_joint_boundary,0.4347725559244873,0.4464714165131107
ETTh1,dlinear,1,mae_joint_adapter,0.4884730498934236,0.47122121168957026
ETTh1,dlinear,1,mae_joint_adapter_global,0.48308424859560023,0.46839150345032937
ETTh1,dlinear,1,sf_base,0.49658982945180796,0.47513002503964186
ETTh1,dlinear,1,sf_joint_boundary,0.4737225325676679,0.47320280341872845
ETTh1,dlinear,1,sf_joint_adapter,0.5476750691967456,0.5028553582864121
ETTh1,dlinear,1,sf_joint_adapter_global,0.5433752988003363,0.501043280327062
ETTh1,dlinear,2,mae_base,0.5117585078607991,0.4860034370683944
ETTh1,dlinear,2,mae_joint_boundary,0.4422277882618346,0.4543240396675807
ETTh1,dlinear,2,mae_joint_adapter,0.5062316795701397,0.4846867166318798
ETTh1,dlinear,2,mae_joint_adapter_global,0.500156648289408,0.48045983054661456
ETTh1,dlinear,2,sf_base,0.5197502621381692,0.49067084583321613
ETTh1,dlinear,2,sf_joint_boundary,0.44608886162213524,0.45685865214945354
ETTh1,dlinear,2,sf_joint_adapter,0.5121060650313733,0.488378828128687
ETTh1,dlinear,2,sf_joint_adapter_global,0.5067138716320833,0.48429410692716
ETTh1,patchtst,0,mae_base,0.5525782519931529,0.5095822427989597
ETTh1,patchtst,0,mae_joint_boundary,0.4105390853386766,0.43880816401323003
ETTh1,patchtst,0,mae_joint_adapter,0.5236183277676455,0.49350312699899374
ETTh1,patchtst,0,mae_joint_adapter_global,0.5250727028132777,0.49427335100682307
ETTh1,patchtst,0,sf_base,0.5972181182489174,0.5299956960843156
ETTh1,patchtst,0,sf_joint_boundary,0.42286699512499476,0.4511427381628965
ETTh1,patchtst,0,sf_joint_adapter,0.5484547809051212,0.5113479926215704
ETTh1,patchtst,0,sf_joint_adapter_global,0.5495108812106118,0.5124512051633026
