Dataset,Backbone,Phase,Static MSE,Proposed MSE,ELF MSE,Static MAE,Proposed MAE,ELF MAE
ETTh1,dlinear,legacy,0.396152,0.358140,0.367068,0.403866,0.386256,0.386160
ETTh1,patchtst,legacy,0.448997,0.382987,0.367071,0.445679,0.410955,0.392397
ETTh2,dlinear,legacy,0.140981,0.133641,0.134123,0.252093,0.242359,0.243241
ETTh2,patchtst,legacy,0.200969,0.145461,0.138905,0.316452,0.260238,0.250939
ETTm1,dlinear,legacy,0.262384,0.247178,0.239005,0.337713,0.326791,0.318946
ETTm1,patchtst,legacy,0.322807,0.274772,0.237491,0.366232,0.344914,0.319159
ETTm2,dlinear,legacy,0.096563,0.089207,0.085869,0.206768,0.197604,0.191181
ETTm2,patchtst,legacy,0.116083,0.094244,0.085962,0.229552,0.204192,0.191809
appliances,dlinear,legacy,0.237678,0.184268,0.193530,0.295009,0.249171,0.256955
appliances,patchtst,legacy,0.436744,0.184638,0.181880,0.383045,0.250756,0.250303
bdg2,dlinear,legacy,0.220703,0.192874,0.183895,0.313259,0.281927,0.266583
bdg2,patchtst,legacy,0.220290,0.188866,0.174379,0.320321,0.288072,0.265989
ETTh1,dlinear,refit,0.396252,0.358535,0.367435,0.404192,0.386408,0.386473
ETTh1,patchtst,refit,0.426615,0.372909,0.363739,0.434297,0.405626,0.392047
ETTh2,dlinear,refit,0.149692,0.134594,0.135627,0.263381,0.243416,0.245452
ETTh2,patchtst,refit,0.160106,0.138927,0.137478,0.278264,0.250700,0.248565
ETTm1,dlinear,refit,0.263589,0.246293,0.239035,0.340010,0.326396,0.319296
ETTm1,patchtst,refit,0.310581,0.268864,0.236130,0.356731,0.341616,0.317184
ETTm2,dlinear,refit,0.102963,0.089827,0.086229,0.216217,0.198732,0.191870
ETTm2,patchtst,refit,0.117723,0.091156,0.086439,0.236183,0.201837,0.192728
appliances,dlinear,refit,0.223673,0.184275,0.192811,0.278980,0.249091,0.255417
appliances,patchtst,refit,0.441810,0.180667,0.178768,0.388376,0.249906,0.248327
bdg2,dlinear,refit,0.217804,0.192992,0.183907,0.305710,0.280817,0.265244
bdg2,patchtst,refit,0.205457,0.185274,0.173074,0.307609,0.283881,0.263517
bdg2_fox,dlinear,legacy,0.237253,0.208764,0.175943,0.317106,0.298717,0.267060
bdg2_fox,patchtst,legacy,0.190276,0.177102,0.156648,0.297983,0.285042,0.258122
bdg2_panther,dlinear,legacy,0.077896,0.066903,0.064571,0.178538,0.163847,0.159766
bdg2_panther,patchtst,legacy,0.073592,0.067891,0.064002,0.172912,0.165355,0.158130
