dataset,backbone,kind,seed,rank,arm,mse,mae,state_bytes
ETTh1,dlinear,mae,0,2,base,0.4869653188891859,0.47262947733727456,0
ETTh1,dlinear,mae,0,2,boundary,0.4299635396939079,0.4468540827577371,4528
ETTh1,dlinear,mae,0,2,adapter,0.4827576264623193,0.4697141140022716,1056
ETTh1,dlinear,mae,0,2,adapter_global,0.48337068995516,0.470002034448073,1584
ETTh1,dlinear,mae,0,4,base,0.483213702633125,0.47042402104392583,0
ETTh1,dlinear,mae,0,4,boundary,0.4301022137449885,0.44714745412814944,4528
ETTh1,dlinear,mae,0,4,adapter,0.48912339437453584,0.4736588678576159,1440
ETTh1,dlinear,mae,0,4,adapter_global,0.4818428854864944,0.4697663052539567,1968
ETTh1,dlinear,sf,0,2,base,0.4970491477063112,0.4777909053208413,0
ETTh1,dlinear,sf,0,2,boundary,0.4375534519158638,0.4512358889681768,4528
ETTh1,dlinear,sf,0,2,adapter,0.49273700242092683,0.47502541186938624,1056
ETTh1,dlinear,sf,0,2,adapter_global,0.49301077544112726,0.47515220164092176,1584
ETTh1,dlinear,sf,0,4,base,0.49016431325358806,0.47369377161390575,0
ETTh1,dlinear,sf,0,4,boundary,0.43425814007995855,0.44949438718001794,4528
ETTh1,dlinear,sf,0,4,adapter,0.49551434308127684,0.4767123470626027,1440
ETTh1,dlinear,sf,0,4,adapter_global,0.48842569494032,0.4728851957638827,1968
ETTh1,dlinear,mae,1,2,base,0.4912081058127826,0.4708740727010691,0
ETTh1,dlinear,mae,1,2,boundary,0.435258590180438,0.44693783077381993,4528
ETTh1,dlinear,mae,1,2,adapter,0.49095351910521395,0.47089343147511015,1056
ETTh1,dlinear,mae,1,2,adapter_global,0.490444007983744,0.47047584050777463,1584
ETTh1,dlinear,mae,1,4,base,0.4884779430772316,0.46952849531285623,0
ETTh1,dlinear,mae,1,4,boundary,0.43419936432625184,0.44604030109202286,4528
ETTh1,dlinear,mae,1,4,adapter,0.48734688335299325,0.46894103789182306,1440
ETTh1,dlinear,mae,1,4,adapter_global,0.48623327965501156,0.4682658696975913,1968
ETTh1,dlinear,sf,1,2,base,0.4945643037758996,0.4736499519166041,0
ETTh1,dlinear,sf,1,2,boundary,0.4375423216077532,0.4489026091729969,4528
ETTh1,dlinear,sf,1,2,adapter,0.4941573791184464,0.47365708441331383,1056
ETTh1,dlinear,sf,1,2,adapter_global,0.4935783227189582,0.47316134553739725,1584
ETTh1,dlinear,sf,1,4,base,0.49210633214444005,0.4723831366852931,0
ETTh1,dlinear,sf,1,4,boundary,0.4367799026745774,0.44822495517264477,4528
ETTh1,dlinear,sf,1,4,adapter,0.4905277293425293,0.4716738844978612,1440
ETTh1,dlinear,sf,1,4,adapter_global,0.48943067805106133,0.4709196570942789,1968
