Setting,MSE (\%),MAE (\%),Bytes
Reference ($K=4$),16.991743162764315,10.35881470049821,4528
$K=1$,13.45587477129919,7.848229264431985,1576
$K=2$,15.209410975292208,9.190880945906686,2560
$K=3$,16.17942129347009,9.853391935182385,3544
$K=6$,17.40205822278488,10.678219793645743,6496
$K=8$,17.6945671030799,10.93510478748405,8464
$\lambda=0.1$,16.841790018356548,10.209382228078569,4528
$\lambda=10$,16.73648901935708,10.396326375458019,4528
Half-life 32,17.002777508585027,10.665396903245712,4528
Half-life 512,16.32178913876946,9.960516711925505,4528
No forgetting,15.906556597925494,9.737725621097066,4528
Window 8,16.72858497879708,10.324589760498444,4144
Window 128,16.634785558370098,10.078315380159395,6064
