cohort,subset,policy,control,pairs,mse_reduction,mae_reduction,mse_wins,mae_wins
main,without_rat,global,static,60,17.988718032534628,10.640387960271646,60,60
main,without_rat,global,endpoint_only,60,4.664612562984349,2.2832212528391334,60,60
main,without_rat,global,no_residual_dct,60,2.297118247986822,1.4941921577306396,55,60
main,without_rat,global,first,60,2.4244320393435923,1.580194363476312,58,59
main,without_rat,global,middle,60,1.849899875074722,1.2196825385018701,59,60
main,without_rat,global,mean,60,2.615545261809525,1.7403527251769193,60,60
mae,without_rat,global,static,10,29.11746381259649,17.329928683336977,10,10
mae,without_rat,global,endpoint_only,10,6.654443473489093,3.2585549924938606,10,10
mae,without_rat,global,no_residual_dct,10,3.288888038900166,1.9598258583521186,9,10
mae,without_rat,global,first,10,4.865346833163755,2.9695725411291884,10,10
mae,without_rat,global,middle,10,4.506699298481509,2.792123549510717,10,10
mae,without_rat,global,mean,10,6.169616229796583,3.626382429240136,10,10
sf,without_rat,global,static,10,32.14228057913182,19.31291605450893,10,10
sf,without_rat,global,endpoint_only,10,6.8082538188041655,3.336443129173156,10,10
sf,without_rat,global,no_residual_dct,10,3.448062289346898,2.0171040249587344,9,10
sf,without_rat,global,first,10,5.722048413455002,3.4954921734503914,10,10
sf,without_rat,global,middle,10,5.1929968724563835,3.193865952668817,10,10
sf,without_rat,global,mean,10,7.239570481804525,4.236401353822184,10,10
